Pesticides,Definition of residue,Agricultural Commodity,Maximum Residue Limit (mg/kg)
Chlorpyrifos,Chlorpyrifos,Okra,0.5
Chlorpyrifos,Chlorpyrifos,Banana,2
Chlorpyrifos,Chlorpyrifos,Rice,0.5
Chlorpyrifos,Chlorpyrifos,"Rice, husked and polished",0.1
Chlorpyrifos,Chlorpyrifos,"Spices, seeds",5
Chlorpyrifos,Chlorpyrifos,"Spices, Fruits or Berries",1
Chlorpyrifos,Chlorpyrifos,"Spices, Roots or Rhizomes",1
Chlorpyrifos,Chlorpyrifos,Rambutan,0.5
Chlorpyrifos,Chlorpyrifos,Soya bean (dry),0.1
Chlorpyrifos,Chlorpyrifos,Soya bean (young pod),1
Chlorpyrifos,Chlorpyrifos,Oil palm,0.05
Chlorpyrifos,Chlorpyrifos,Peppers Chili,3
Chlorpyrifos,Chlorpyrifos,"Peppers Chili, dried",20
Chlorpyrifos,Chlorpyrifos,"Peppers, Sweet",2
Chlorpyrifos,Chlorpyrifos,Coconut,0.05
Chlorpyrifos,Chlorpyrifos,Peanut,0.05
Chlorpyrifos,Chlorpyrifos,Sweet potato,0.05
Chlorpyrifos,Chlorpyrifos,Longan,0.5
Chlorpyrifos,Chlorpyrifos,Litchi,2
Chlorpyrifos,Chlorpyrifos,Shallot,0.2
Chlorpyrifos,Chlorpyrifos,"Onion, Bulb",0.2
Chlorpyrifos,Chlorpyrifos,Cattle meat,1 (fat)
Chlorpyrifos,Chlorpyrifos,Meat of goats and sheep,1 (fat)
Chlorpyrifos,Chlorpyrifos,"Cattle, edible offal of",0.01
Chlorpyrifos,Chlorpyrifos,Edible offal of goat and sheep,0.01
Chlorpyrifos,Chlorpyrifos,Pig meat,0.02 (fat)
Chlorpyrifos,Chlorpyrifos,"Pig, edible offal of",0.01
Chlorpyrifos,Chlorpyrifos,Poultry meat,0.01(fat)
Chlorpyrifos,Chlorpyrifos,"Poultry, edible offal of",0.01
Chlorpyrifos,Chlorpyrifos,Eggs,0.01
Chlorpyrifos,Chlorpyrifos,Milks,0.02
Chlorothalonil,Chlorothalonil,Soya bean (dry),0.2
Chlorothalonil,Chlorothalonil,Soya bean (young pod),2
Chlorothalonil,Chlorothalonil,"Chinese cabbage, type Pe-tsai",1
Chlorothalonil,Chlorothalonil,"Chinese cabbage, type Pe- tsai",1
Chlorothalonil,Chlorothalonil,"Broccoli, Chinese / Chinese, kale",4
Chlorothalonil,Chlorothalonil,Tomato,5
Chlorothalonil,Chlorothalonil,Potato,0.2
Chlorothalonil,Chlorothalonil,Peanut,0.1
Carbaryl,Carbaryl,Lead tree leaves,0.02
Carbaryl,Carbaryl,Sweet corn (corn-on-the cob),0.1
Carbaryl,Carbaryl,Baby corn,0.1
Carbaryl,Carbaryl,Maize,0.02
Carbaryl,Carbaryl,Sorghum,10
Carbaryl,Carbaryl,"Rice, husked and polished",1
Carbaryl,Carbaryl,Rambutan,1
Carbaryl,Carbaryl,"Cucumber and other cucurbits, except watermelon",3
Carbaryl,Carbaryl,Watermelon,1
Carbaryl,Carbaryl,Durian,1
Carbaryl,Carbaryl,Oil palm,0.05
Carbaryl,Carbaryl,Brassica vegetables,1
Carbaryl,Carbaryl,Peppers Chili,0.5
Carbaryl,Carbaryl,"Peppers Chili, dried",2
Carbaryl,Carbaryl,"Peppers, Sweet",5
Carbaryl,Carbaryl,Coconut,1
Carbaryl,Carbaryl,Mango,1
Carbaryl,Carbaryl,Mangosteen,1
Carbaryl,Carbaryl,Potato,0.2
Carbaryl,Carbaryl,Cacao beans,0.02
Carbaryl,Carbaryl,Peanut,2
Carbaryl,Carbaryl,Cashew nut,1
Carbaryl,Carbaryl,Longan,1
Carbaryl,Carbaryl,Litchi,1
Carbaryl,Carbaryl,Citrus fruits,7
Carbaryl,Carbaryl,Sugar cane,0.05
Carbaryl,Carbaryl,Grapes,5
Carbaryl,Carbaryl,Meat (from mammals other than marine mammals),0.05
Carbaryl,Carbaryl,Edible offal (mammalian),1
Carbaryl,Carbaryl,Poultry meat,0.05
Carbaryl,Carbaryl,Eggs,0.05
Carbaryl,Carbaryl,Milks,0.05
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim","Chives, Chinese",3
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim","Rice, husked and polished",2
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Rambutan,3
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Spring onion,3
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Mung bean (dry),0.5
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Soya bean (dry),0.5
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Soya bean (young pods),3
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Mulberry leaves,0.1
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Peppers Chili,2
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim","Peppers Chili, dried",20
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Tomato,0.5
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Mango,2
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Cotton seed,0.1
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Peanut,0.1
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Asparagus,0.2
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Shallot,3
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim","Onion, Bulb",2
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Grapes,3
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Sugar cane,0.1
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Cattle meat,0.05
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Edible offal (mammalian),0.05
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Poultry meat,0.05
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Poultry fats,0.05
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim","Poultry, edible offal of",0.1
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Eggs,0.05
carbendazim / benomyl,"Sum of carbemdazim, benomyl, thiophanate- methyl, expressed as carbendazim",Milks,0.05
carbosulfan,carbosulfan,Okra,0.5
carbosulfan,carbosulfan,Lead tree leaves,0.2
carbosulfan,carbosulfan,Sweet corn (corn-on-the cob),0.05
carbosulfan,carbosulfan,Baby corn,0.05
carbosulfan,carbosulfan,Maize,0.05
carbosulfan,carbosulfan,Sorghum,0.05
carbosulfan,carbosulfan,"Rice, husked and polished",0.2
carbosulfan,carbosulfan,Rambutan,0.2
carbosulfan,carbosulfan,"Cucumber and other cucurbits, except watermelon",0.5
carbosulfan,carbosulfan,Watermelon,0.2
carbosulfan,carbosulfan,Mung bean (dry),0.05
carbosulfan,carbosulfan,Yard-long bean (pods),0.1
carbosulfan,carbosulfan,Garden pea (young pods),0.1
carbosulfan,carbosulfan,Soya bean (dry),0.05
carbosulfan,carbosulfan,Soya bean (young pods),0.5
carbosulfan,carbosulfan,Durian,0.2
carbosulfan,carbosulfan,Oil palm,0.05
carbosulfan,carbosulfan,Brassica vegetables,0.5
carbosulfan,carbosulfan,Peppers Chili,0.5
carbosulfan,carbosulfan,"Peppers Chili, dried",5
carbosulfan,carbosulfan,Tomato,0.5
carbosulfan,carbosulfan,"Egg plant, except tomato",0.03
carbosulfan,carbosulfan,Coconut,0.2
carbosulfan,carbosulfan,Sweet potato,0.05
carbosulfan,carbosulfan,Potato,0.05
carbosulfan,carbosulfan,Coffee beans,0.05
carbosulfan,carbosulfan,Cacao beans,0.05
carbosulfan,carbosulfan,Sesame seed,0.2
carbosulfan,carbosulfan,Sunflower seed,0.05
carbosulfan,carbosulfan,Peanut,0.05
carbosulfan,carbosulfan,Cotton seed,0.05
carbosulfan,carbosulfan,Linseed,0.05
carbosulfan,carbosulfan,Citrus fruits,0.1
carbosulfan,carbosulfan,Asparagus,0.02
carbosulfan,carbosulfan,Grapes,0.1
carbosulfan,carbosulfan,Meat (from mammals other than  marine  mammals),0.05
carbosulfan,carbosulfan,Edible offal (mammalian),0.05
carbosulfan,carbosulfan,Poultry meat,0.05
carbosulfan,carbosulfan,"Poultry, edible offal of",0.05
carbosulfan,carbosulfan,Eggs,0.05
carbosulfan,carbosulfan,Milks,0.05
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Okra,0.15
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Lead tree leaves,0.2
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Rambutan,0.05
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Garden pea (young pods),0.15
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Durian,0.02
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Oil palm,0.1
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Brassica vegetables,0.03
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Peppers Chili,0.5
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran","Peppers Chili, dried",2
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran","Egg plant, except tomato",0.1
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Coconut,0.02
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Cacao beans,0.05
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Sesame seed,0.1
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Sunflower seed,0.05
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Linseed,0.1
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Citrus fruits,0.02
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Asparagus,0.06
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Grapes,0.02
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Banana,0.01
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Sweet corn (corn-on-the cob),0.01
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Baby corn,0.01
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Maize,0.05
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Sorghum,0.1
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran","Rice, husked and polished",0.1
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Mung bean (dry),0.2
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Yard-long bean (pods),0.1
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Soya bean (dry),0.1
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Soya bean (young pod),0.02
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Casava,0.02
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Coffee beans,1
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Peanut,0.1
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Cotton seed,0.1
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Sugar cane,0.1
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Meat  (from  mammals  other than marine mammals),0.05
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Edible offal (mammalian),0.05
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Mammalian fats,0.05
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Poultry meat,0.01
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran","Poultry, edible offal of",0.01
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Eggs,0.01
Carbosulfan or Carbofuran,"Sumofcarbofuran and 3-hydroxycarbofuran, expressed as carbofuran",Milks,0.01
Captan,Captan,Barley,0.02
Captan,Captan,Soya bean (dry),5
Captan,Captan,Soya bean (young pod),5
Captan,Captan,Oil palm,5
Captan,Captan,Mango,5
Captan,Captan,Cotton seed,5
Captan,Captan,Peanut,5
Captan,Captan,Grapes,10
Quintozene,Quintozene,"Spices, seeds",0.1
Quintozene,Quintozene,"Spices, Fruits or Berries",0.02
Quintozene,Quintozene,"Spices, Roots or Rhizomes",2
Sulfuryl fluoride,Sulfuryl fluoride,"Rice, husked and polished",0.1
Cypermethrin,Cypermethrin,Okra,0.5
Cypermethrin,Cypermethrin,Sweet corn (corn-on-the cob),0.05
Cypermethrin,Cypermethrin,Baby corn,0.05
Cypermethrin,Cypermethrin,Maize,0.05
Cypermethrin,Cypermethrin,"Spices, Fruits or Berries",0.1
Cypermethrin,Cypermethrin,"Spices, Roots or Rhizomes",0.2
Cypermethrin,Cypermethrin,Yard-long bean (pods),0.7
Cypermethrin,Cypermethrin,Garden pea (young pods),0.05
Cypermethrin,Cypermethrin,Soya bean (dry),0.05
Cypermethrin,Cypermethrin,Soya bean (young pods),5
Cypermethrin,Cypermethrin,Durian,1
Cypermethrin,Cypermethrin,Brassica vegetables,1
Cypermethrin,Cypermethrin,Peppers Chili,2
Cypermethrin,Cypermethrin,"Peppers Chili, dried",10
Cypermethrin,Cypermethrin,Tomato,0.2
Cypermethrin,Cypermethrin,"Egg plant, except tomato",0.03
Cypermethrin,Cypermethrin,Mango,0.7
Cypermethrin,Cypermethrin,Papaya,0.5
Cypermethrin,Cypermethrin,Cotton seed,0.1
Cypermethrin,Cypermethrin,Longan,1
Cypermethrin,Cypermethrin,Litchi,2
Cypermethrin,Cypermethrin,"Citrus fruits, except pummelo and grapefruit",0.3
Cypermethrin,Cypermethrin,Grapefruit,0.5
Cypermethrin,Cypermethrin,Pummelo,0.5
Cypermethrin,Cypermethrin,Asparagus,0.4
Cypermethrin,Cypermethrin,Shallot,0.1
Cypermethrin,Cypermethrin,"Onion, Bulb",0.01
Cypermethrin,Cypermethrin,Sugar cane,0.2
Cypermethrin,Cypermethrin,Meat (from mammals other than marine mammals),2 (fat)
Cypermethrin,Cypermethrin,Edible offal (mammalian),0.05
Cypermethrin,Cypermethrin,Poultry meat,0.1(fat)
Cypermethrin,Cypermethrin,"Poultry, edible offal of",0.05
Cypermethrin,Cypermethrin,Chicken fats,0.1
Cypermethrin,Cypermethrin,Eggs,0.05
Cypermethrin,Cypermethrin,Milks,0.05F
"2,4-D","Sum of 2,4-D and its salt and asters, expressed as 2,4-D",Sweet corn (corn-on-the cob),0.05
"2,4-D","Sum of 2,4-D and its salt and asters, expressed as 2,4-D",Baby corn,0.05
"2,4-D","Sum of 2,4-D and its salt and asters, expressed as 2,4-D",Maize,0.05
"2,4-D","Sum of 2,4-D and its salt and asters, expressed as 2,4-D",Sorghum,0.01
"2,4-D","Sum of 2,4-D and its salt and asters, expressed as 2,4-D","Rice, husked and polished",0.1
"2,4-D","Sum of 2,4-D and its salt and asters, expressed as 2,4-D",Spring onion,0.05
"2,4-D","Sum of 2,4-D and its salt and asters, expressed as 2,4-D",Pineapple,0.05
"2,4-D","Sum of 2,4-D and its salt and asters, expressed as 2,4-D",Meat (from mammals other than marine mammals),0.2
"2,4-D","Sum of 2,4-D and its salt and asters, expressed as 2,4-D",Edible offal (Mammalian),1
"2,4-D","Sum of 2,4-D and its salt and asters, expressed as 2,4-D",Poultry meat,0.05
"2,4-D","Sum of 2,4-D and its salt and asters, expressed as 2,4-D","Poultry, edible offal of",0.05
"2,4-D","Sum of 2,4-D and its salt and asters, expressed as 2,4-D",Eggs,0.01
"2,4-D","Sum of 2,4-D and its salt and asters, expressed as 2,4-D",Milks,0.01
Deltamethrin,sum of deltamethrin alpha-R and trans- deltamethrin (fat soluble),Garlic,0.1
Deltamethrin,sum of deltamethrin alpha-R and trans- deltamethrin (fat soluble),Baby corn,0.02
